M1,M2,M5,M6,M7,M8,M9,M10,M13,M14,M15,M16,M17,M18,M21,M22,M23,M24,M25,M26,M29,M30,M31,M32,M33,M34,M37,M38,M39,M40,M41,M42,M45,M46,M47,M48,M49,M50,M53,M54,M55,M56,M57,M58,M61,M62,M63,M64,M65,M66,M69,M70,M71,M72,M73,M74,M77,M78,M79,M80,M81,M82,M85,M86,M87,M88,M89,M90,M93,M94,M95,M96,M97,M98,M101,M102,M103,M104,M105,M106,M109,M110,M111,M112,M113,M114,M117,M118,M119,M120,M121,M122,M125,M126,M127,M128,M129,M130,M133,M134,M135,M136,M137,M138,M141,M142,M143,M144,M145,M146,M149,M150,M151,M152,M153,M154,M157,M158,M159,M160,M161,M162,M165,M166,M167,M168,M169,M170,M173,M174,M175,M176,P1,P2,P5,P6,P7,P8,P9,P10,P13,P14,P15,P16,P17,P18,P21,P22,P23,P24,P25,P26,P29,P30,P31,P32,P33,P34,P37,P38,P39,P40,P41,P42,P45,P46,P47,P48,P49,P50,P53,P54,P55,P56,P57,P58,P61,P62,P63,P64,P65,P66,P69,P70,P71,P72,P73,P74,P77,P78,P79,P80,P81,P82,P85,P86,P87,P88,P89,P90,P93,P94,P95,P96,P97,P98,P101,P102,P103,P104,P105,P106,P109,P110,P111,P112,P113,P114,P117,P118,P119,P120,P121,P122,P125,P126,P127,P128,P129,P130,P133,P134,P135,P136,P137,P138,P141,P142,P143,P144,P145,P146,P149,P150,P151,P152,P153,P154,P157,P158,P159,P160,P161,P162,P165,P166,P167,P168,P169,P170,P173,P174,P175,P176,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017810481,0,0,0,0,0,0.011064911,0,0,0,0,0,0.151200047,0,0,0,0,0,0.093105536,0,0,0,0,0,0.241724442,0,0,0,0,0,0.182530573,0,0,0,0,0,0.082031042,0,0,0,0,0,0.022744903,0,0,0,0,0,0.123159426,0,0,0,0,0,0.037085191,0,0,0,0,0,0.047354639,0,0,0,0,0,0.026737461,0,0,0,0,0,0.053300943,0,0,0,0,0,0.012893073,0,0,0,0,0,0.18538992,0,0,0,0,0,0.091856288,0,0,0,0,0,0.058663666,0,0,0,0,0,0.030688938,0,0,0,0,0,0.135527683,0,0,0,0,0,0.135077288,0,0,0,0,0,0.558457366,0,0,0,0,0,0.469723906,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342363507,0,0,0,0,0,0.27337792,0,0,0,0,0,0.148575134,0,0,0,0,0,0.187076924,0,0,0,0,0,0.168996953,0,0,0,0,0,0.161185087,0,0,0,0,0,0.175929564,0,0,0,0,0,0.170895699,0,0,0,0,0,0.207834623,0,0,0,0,0,0.11643592,0,0,0,0,0,0.090517579,0,0,0,0,0,0.10411985,0,0,0,0,0,0.061005529,0,0,0,0,0,0.042197201,0,0,0,0,0,0.09732097,0,0,0,0,0,0.131984084,0,0,0,0,0,0.17978104,0,0,0,0,0,0.190051487,0,0,0,0,0,0.171388315,0,0,0,0,0,0.277599468,0,0,0,0,0,0.045041383,0,0,0,0,0,0.047308262,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021840736,0,0,0,0,0,0.01630811,0,0,0,0,0,0.04976934,0,0,0,0,0,0.042368588,0,0,0,0,0,0.18115827,0,0,0,0,0,0.16767157,0,0,0,0,0,0.012698861,0,0,0,0,0,0.011219946,0,0,0,0,0,0.05921141,0,0,0,0,0,0.022618014,0,0,0,0,0,0.022721707,0,0,0,0,0,0.022877586,0,0,0,0,0,0.020314382,0,0,0,0,0,0.008462972,0,0,0,0,0,0.137776183,0,0,0,0,0,0.092105674,0,0,0,0,0,0.049752489,0,0,0,0,0,0.023872393,0,0,0,0,0,0.164073991,0,0,0,0,0,0.163422083,0,0,0,0,0,0.522399952,0,0,0,0,0,0.489144223,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033703084,0,0,0,0,0,0.010605918,0,0,0,0,0,0.175926429,0,0,0,0,0,0.121619944,0,0,0,0,0,0.409960418,0,0,0,0,0,0.452501225,0,0,0,0,0,0.131952688,0,0,0,0,0,0.037512887,0,0,0,0,0,0.330487012,0,0,0,0,0,0.107772473,0,0,0,0,0,0.089374628,0,0,0,0,0,0.03430383,0,0,0,0,0,0.109363147,0,0,0,0,0,0.019550134,0,0,0,0,0,0.334831023,0,0,0,0,0,0.172712844,0,0,0,0,0,0.070767793,0,0,0,0,0,0.015979351,0,0,0,0,0,0.11887428,0,0,0,0,0,0.12717952,0,0,0,0,0,0.574788752,0,0,0,0,0,0.509835357,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007321843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215435577,0,0,0,0,0,0.238582757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137066159,0,0,0,0,0,0.075932896,0,0,0,0,0,0.033354914,0,0,0,0,0,0.002888226,0,0,0,0,0,0.019447842,0,0,0,0,0,0.002231441,0,0,0,0,0,0.175639419,0,0,0,0,0,0.136827486,0,0,0,0,0,0.043499747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35407954,0,0,0,0,0,0.258081182,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093944203,0,0,0,0,0,0.040103845,0,0,0,0,0,0.025334633,0,0,0,0,0,0.014787286,0,0,0,0,0,0.116345131,0,0,0,0,0,0.092698655,0,0,0,0,0,0.00415491,0,0,0,0,0,0.000169321,0,0,0,0,0,0.074327342,0,0,0,0,0,0.018656539,0,0,0,0,0,0.011573044,0,0,0,0,0,0,0,0,0,0,0,0.012115105,0,0,0,0,0,0,0,0,0,0,0,0.061535933,0,0,0,0,0,0.039997645,0,0,0,0,0,0.11213485,0,0,0,0,0,0.02006171,0,0,0,0,0,0.116563574,0,0,0,0,0,0.158856283,0,0,0,0,0,0.13894278,0,0,0,0,0,0.107165679,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143824567,0,0,0,0,0,0.131083734,0,0,0,0,0,0.027437076,0,0,0,0,0,0.059293434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033051931,0,0,0,0,0,0.036710721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041961777,0,0,0,0,0,0.052831571,0,0,0,0,0,0.006863418,0,0,0,0,0,0.015998481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074218448,0,0,0,0,0,0.047294458,0,0,0,0,0,0.055974134,0,0,0,0,0,0.12637131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27038448,0,0,0,0,0,0.075836029,0,0,0,0,0,0.179618652,0,0,0,0,0,0.103384841,0,0,0,0,0,0.115273701,0,0,0,0,0,0.079822252,0,0,0,0,0,0.120324525,0,0,0,0,0,0.017986584,0,0,0,0,0,0.064588643,0,0,0,0,0,0.039460751,0,0,0,0,0,0.066814545,0,0,0,0,0,0.011385129,0,0,0,0,0,0.033893928,0,0,0,0,0,0.006888524,0,0,0,0,0,0.067874379,0,0,0,0,0,0.053202104,0,0,0,0,0,0.193177742,0,0,0,0,0,0.018277841,0,0,0,0,0,0.356157705,0,0,0,0,0,0.356103301,0,0,0,0,0,0.15643996,0,0,0,0,0,0.13712666,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070175985,0,0,0,0,0,0.044864695,0,0,0,0,0,0.139914156,0,0,0,0,0,0.09005754,0,0,0,0,0,0.099972423,0,0,0,0,0,0.079367393,0,0,0,0,0,0.088837026,0,0,0,0,0,0.015050211,0,0,0,0,0,0.041432537,0,0,0,0,0,0.00931317,0,0,0,0,0,0.066720889,0,0,0,0,0,0.027375676,0,0,0,0,0,0.030279735,0,0,0,0,0,0.003994621,0,0,0,0,0,0.083327041,0,0,0,0,0,0.042749332,0,0,0,0,0,0.075961919,0,0,0,0,0,0.060872926,0,0,0,0,0,0.270707952,0,0,0,0,0,0.302124088,0,0,0,0,0,0.413550941,0,0,0,0,0,0.374544819,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025572919,0,0,0,0,0,0.008667239,0,0,0,0,0,0.174500397,0,0,0,0,0,0.130026213,0,0,0,0,0,0.362839003,0,0,0,0,0,0.33353443,0,0,0,0,0,0.097969831,0,0,0,0,0,0.043941452,0,0,0,0,0,0.256560751,0,0,0,0,0,0.131370858,0,0,0,0,0,0.09125879,0,0,0,0,0,0.037312357,0,0,0,0,0,0.082953359,0,0,0,0,0,0.0313516,0,0,0,0,0,0.263760456,0,0,0,0,0,0.181002278,0,0,0,0,0,0.047715085,0,0,0,0,0,0.009689682,0,0,0,0,0,0.155643355,0,0,0,0,0,0.191512096,0,0,0,0,0,0.505985905,0,0,0,0,0,0.401294757,0,0,0,0,0,1
